0,0
0.01,0.00014743
0.02,0.00076576
0.03,0.0019964
0.04,0.0037464
0.05,0.0059349
0.06,0.0085301
0.07,0.011514
0.08,0.014877
0.09,0.018623
0.1,0.022754
0.11,0.027272
0.12,0.03218
0.13,0.037482
0.14,0.043178
0.15,0.049268
0.16,0.055754
0.17,0.062635
0.18,0.06991
0.19,0.07758
0.2,0.085645
0.21,0.094104
0.22,0.10296
0.23,0.11221
0.24,0.12185
0.25,0.13189
0.26,0.14233
0.27,0.15316
0.28,0.16439
0.29,0.17602
0.3,0.18805
0.31,0.20047
0.32,0.2133
0.33,0.22654
0.34,0.24018
0.35,0.25422
0.36,0.26867
0.37,0.28353
0.38,0.2988
0.39,0.31449
0.4,0.33058
0.41,0.34709
0.42,0.36402
0.43,0.38136
0.44,0.39912
0.45,0.41731
0.46,0.43591
0.47,0.45494
0.48,0.4744
0.49,0.49427
0.5,0.51458
0.51,0.53532
0.52,0.55648
0.53,0.57808
0.54,0.6001
0.55,0.62255
0.56,0.64542
0.57,0.66873
0.58,0.69246
0.59,0.71662
0.6,0.7412
0.61,0.76622
0.62,0.79167
0.63,0.81755
0.64,0.84386
0.65,0.87061
0.66,0.89779
0.67,0.92541
0.68,0.95347
0.69,0.98197
0.7,1.0109
0.71,1.0403
0.72,1.0701
0.73,1.1004
0.74,1.1311
0.75,1.1622
0.76,1.1938
0.77,1.2259
0.78,1.2584
0.79,1.2913
0.8,1.3247
0.81,1.3585
0.82,1.3928
0.83,1.4275
0.84,1.4627
0.85,1.4984
0.86,1.5344
0.87,1.571
0.88,1.608
0.89,1.6454
0.9,1.6833
0.91,1.7217
0.92,1.7605
0.93,1.7998
0.94,1.8395
0.95,1.8797
0.96,1.9204
0.97,1.9615
0.98,2.0031
0.99,2.0451
1,2.0876
1.01,2.1306
1.02,2.174
1.03,2.2179
1.04,2.2623
1.05,2.3071
1.06,2.3524
1.07,2.3982
1.08,2.4444
1.09,2.4911
1.1,2.5383
1.11,2.5859
1.12,2.634
1.13,2.6826
1.14,2.7317
1.15,2.7812
1.16,2.8312
1.17,2.8817
1.18,2.9326
1.19,2.9841
1.2,3.036
1.21,3.0883
1.22,3.1412
1.23,3.1945
1.24,3.2483
1.25,3.3026
1.26,3.3574
1.27,3.4126
1.28,3.4683
1.29,3.5248
1.3,3.5817
1.31,3.6391
1.32,3.697
1.33,3.7553
1.34,3.8142
1.35,3.8735
1.36,3.9333
1.37,3.9936
1.38,4.0544
1.39,4.1156
1.4,4.1774
1.41,4.2396
1.42,4.3023
1.43,4.3655
1.44,4.4292
1.45,4.4933
1.46,4.558
1.47,4.6231
1.48,4.6888
1.49,4.7549
1.5,4.8214
1.51,4.8885
1.52,4.9561
1.53,5.0241
1.54,5.0927
1.55,5.1617
1.56,5.2312
1.57,5.3012
1.58,5.3717
1.59,5.4427
1.6,5.5141
1.61,5.5861
1.62,5.6585
1.63,5.7314
1.64,5.8048
1.65,5.8787
1.66,5.9531
1.67,6.028
1.68,6.1033
1.69,6.1792
1.7,6.2555
1.71,6.3323
1.72,6.4096
1.73,6.4874
1.74,6.5657
1.75,6.6444
1.76,6.7237
1.77,6.8034
1.78,6.8836
1.79,6.9643
1.8,7.0455
1.81,7.1272
1.82,7.2093
1.83,7.2919
1.84,7.3751
1.85,7.4587
1.86,7.5427
1.87,7.6273
1.88,7.7123
1.89,7.7979
1.9,7.8839
1.91,7.9703
1.92,8.0573
1.93,8.1447
1.94,8.2327
1.95,8.3211
1.96,8.4099
1.97,8.4993
1.98,8.5891
1.99,8.6794
2,8.7702
2.01,8.8614
2.02,8.9531
2.03,9.0453
2.04,9.138
2.05,9.2311
2.06,9.3247
2.07,9.4188
2.08,9.5133
2.09,9.6083
2.1,9.7038
2.11,9.7997
2.12,9.8961
2.13,9.9929
2.14,10.09
2.15,10.188
2.16,10.286
2.17,10.385
2.18,10.484
2.19,10.584
2.2,10.684
2.21,10.784
2.22,10.885
2.23,10.987
2.24,11.088
2.25,11.191
2.26,11.293
2.27,11.397
2.28,11.5
2.29,11.604
2.3,11.709
2.31,11.814
2.32,11.919
2.33,12.025
2.34,12.131
2.35,12.238
2.36,12.345
2.37,12.453
2.38,12.561
2.39,12.669
2.4,12.778
2.41,12.887
2.42,12.997
2.43,13.107
2.44,13.217
2.45,13.328
2.46,13.439
2.47,13.551
2.48,13.663
2.49,13.776
2.5,13.888
2.51,14.002
2.52,14.115
2.53,14.229
2.54,14.344
2.55,14.459
2.56,14.574
2.57,14.689
2.58,14.805
2.59,14.922
2.6,15.038
2.61,15.155
2.62,15.273
2.63,15.39
2.64,15.508
2.65,15.627
2.66,15.746
2.67,15.865
2.68,15.984
2.69,16.104
2.7,16.224
2.71,16.344
2.72,16.465
2.73,16.586
2.74,16.707
2.75,16.829
2.76,16.951
2.77,17.073
2.78,17.196
2.79,17.318
2.8,17.442
2.81,17.565
2.82,17.689
2.83,17.813
2.84,17.937
2.85,18.061
2.86,18.186
2.87,18.311
2.88,18.436
2.89,18.562
2.9,18.688
2.91,18.814
2.92,18.94
2.93,19.067
2.94,19.193
2.95,19.32
2.96,19.447
2.97,19.575
2.98,19.703
2.99,19.83
3,19.958
3.01,20.087
3.02,20.215
3.03,20.344
3.04,20.473
3.05,20.602
3.06,20.731
3.07,20.861
3.08,20.99
3.09,21.12
3.1,21.25
3.11,21.38
3.12,21.51
3.13,21.641
3.14,21.771
3.15,21.902
3.16,22.033
3.17,22.164
3.18,22.295
3.19,22.426
3.2,22.558
3.21,22.689
3.22,22.821
3.23,22.953
3.24,23.085
