Time (sec),Stage,Stage Time (sec),Mach Number,Angle of Attack (deg),CD,CL,Thrust (lb),Weight (lb),Drag (lb),Lift (lb),CG (in),CP (in),Stability Margin (cal),Accel (ft/sec^2),Accel-V (ft/sec^2),Accel-H (ft/sec^2),Velocity (ft/sec),Vel-V (ft/sec),Vel-H (ft/sec),Pitch Attitude (deg),Flight Path Angle (deg),Altitude (ft),Distance (ft)
0,S,0,0,0,0,0,0,63.72,0,0,86.98,101.6257,2.843831,0,0,0,0,0,0,86,86,0,0
0.010,S,0.010,0.010,0,0.4550113,0,333.6115,63.72,0,0,86.96381,101.6257,2.846976,136.372556089445,135.865377465733,11.7504578831056,11.9311153444641,1.358654,0.1175046,86,86,0.00679327,0.000587523
0.02,S,0.02,0.01033411,0,0.4573103,0,655.5553,63.70924,0.009364136,0,86.94761,101.6257,2.850121,298.972084772249,298.078842640293,23.0935281689163,12.8399550658555,4.339442,0.3484399,86,86,0.03528375,0.002917245
0.03,S,0.03,0.0111213,0,0.4618484,0,591.8605,63.67695,0.01095269,0,86.93142,101.6257,2.853265,266.957138539962,266.140875359591,20.8602080592415,14.1467592721591,7.000851,0.557042,86,86,0.09198521,0.007444655
0.04,S,0.04,0.01225319,0,0.4666366,0,485.3169,63.63474,0.01343341,0,86.91522,101.6257,2.85641,213.287703817363,212.599808370312,17.1162519433905,15.4484875547023,9.126849,0.7282045,86,86,0.1726237,0.01387089
0.05,S,0.05,0.01338068,0,0.469883,0,442.8899,63.59951,0.01613073,0,86.89902,101.6257,2.859555,191.960408461399,191.323156387999,15.628443505371,16.767829541512,11.04008,0.8844889,86,86,0.2734584,0.02193435
0.05999999,S,0.05999999,0.01452343,0,0.4720402,0,427.3635,63.56991,0.01909079,0,86.88283,101.6257,2.8627,184.205584034954,183.586671270468,15.0874557658872,18.1355397435443,12.87595,1.035363,86,86,0.3930385,0.03153361
0.06999999,S,0.06999999,0.01570808,0,0.4733886,0,408.9287,63.54158,0.02239589,0,86.86663,101.6257,2.865845,174.966702588956,174.369574991969,14.4429336345601,19.5077382566196,14.61965,1.179792,86,86,0.5305165,0.04260939
0.07999999,S,0.07999999,0.01689661,0,0.4740665,0,411.1371,63.51447,0.02595021,0,86.85043,101.6257,2.868989,176.171810027571,175.571845093308,14.5270044717451,20.9462188891681,16.37537,1.325062,86,86,0.6854916,0.05513366
0.08999999,S,0.08999999,0.01814256,0,0.4742368,0,413.3455,63.48784,0.02992902,0,86.83424,101.6257,2.872134,177.376232881329,176.773430872852,14.6110276371111,22.4410666146468,18.1431,1.471172,86,86,0.858084,0.06911483
0.09999999,S,0.09999999,0.01943733,0,0.4739774,0,415.5539,63.46106,0.03433429,0,86.81805,101.6257,2.875279,178.581924517365,177.976281146311,14.695139116561,23.9844315080551,19.92286,1.618123,86,86,1.048414,0.0845613
0.11,S,0.11,0.02077413,0,0.4733635,0,417.7624,63.43413,0.03916831,0,86.80185,101.6257,2.878424,179.78895269378,179.180463534174,14.7793436391792,25.5700644496929,21.71466,1.765916,86,86,1.256601,0.1014815
0.12,S,0.12,0.02214754,0,0.4724631,0,419.9709,63.40705,0.04443346,0,86.78565,101.6257,2.881569,180.997332614035,180.385993203217,14.863642537572,27.1929835404956,23.51852,1.914552,86,86,1.482767,0.1198838
0.13,S,0.13,0.02355326,0,0.4713344,0,422.1795,63.37983,0.05013238,0,86.76945,101.6257,2.884714,182.20705136354,181.592857312575,14.9480346417336,28.849180990716,25.33445,2.064032,86,86,1.727032,0.1397768
0.14,S,0.14,0.02498779,0,0.4700264,0,422.8986,63.35246,0.05626801,0,86.75326,101.6257,2.887858,182.661695801592,182.046428574679,14.9797515439244,30.528460421025,27.15491,2.21383,86,86,1.989479,0.1611661
0.15,S,0.15,0.02644233,0,0.4685856,0,422.6247,63.32497,0.06281561,0,86.73707,101.6257,2.891003,182.612399367992,181.997248511592,14.9763125349547,32.2233176188215,28.97488,2.363593,86,86,2.270128,0.1840532
0.16,S,0.16,0.02791036,0,0.4670503,0,422.3508,63.29749,0.06975403,0,86.72087,101.6257,2.894148,182.562882029508,181.947848063197,14.9728581136651,33.9313393529413,30.79436,2.513322,86,86,2.568974,0.2084377
0.17,S,0.17,0.0293898,0,0.4654482,0,422.0769,63.27002,0.07707878,0,86.70467,101.6257,2.897293,182.513073245499,181.898156855455,14.9693833575464,35.6505485485154,32.61334,2.663016,86,86,2.886013,0.2343194
0.18,S,0.18,0.03087893,0,0.4638011,0,421.8031,63.24257,0.08478548,0,86.68848,101.6257,2.900438,182.462992953587,181.84819477895,14.965889656742,37.3793281710866,34.43182,2.812675,86,86,3.221238,0.2616979
0.19,S,0.19,0.03237636,0,0.462126,0,421.5295,63.21514,0.0928702,0,86.67228,101.6257,2.903583,182.412702435159,181.798022970323,14.9623812870756,39.1163392780729,36.2498,2.962299,86,86,3.574646,0.2905728
0.2,S,0.2,0.03388092,0,0.4604364,0,421.4758,63.18773,0.1013292,0,86.65608,101.6257,2.906728,182.474109141171,181.859284729746,14.9666651078002,40.8615272623864,38.06839,3.111966,86,86,3.946237,0.3209441
0.21,S,0.21,0.03539257,0,0.4587418,0,421.4771,63.16033,0.1101643,0,86.63989,101.6257,2.909872,182.563352250668,181.948317180598,14.972890841455,42.6142350339107,39.88787,3.261695,86,86,4.336019,0.3528124
0.22,S,0.22,0.03691075,0,0.4570498,0,421.4786,63.13293,0.1193745,0,86.6237,101.6257,2.913017,182.652528386584,182.037282809391,14.9791119024375,44.3736815596013,41.70824,3.411486,86,86,4.743999,0.3861783
0.23,S,0.23,0.03843476,0,0.4553671,0,421.4801,63.10554,0.1289572,0,86.6075,101.6257,2.916162,182.741634236862,182.126178300725,14.9853281956524,46.1392018741688,43.5295,3.561339,86,86,5.170187,0.4210424
0.24,S,0.24,0.03996404,0,0.4536985,0,421.4816,63.07814,0.1389105,0,86.5913,101.6257,2.919307,182.830632960236,182.214966922704,14.9915368791343,47.9102265918902,45.35165,3.711254,86,86,5.614593,0.4574054
0.25,S,0.25,0.04149809,0,0.4520477,0,421.4832,63.05074,0.1492322,0,86.5751,101.6257,2.922452,182.919583368138,182.303707336764,14.9977421915712,49.6862656690201,47.17469,3.861231,86,86,6.077225,0.4952678
0.26,S,0.26,0.04303649,0,0.4504177,0,421.4849,63.02335,0.1599204,0,86.55891,101.6257,2.925596,183.008439534414,182.392353725199,15.0039409290771,51.466895260655,48.99862,4.011271,86,86,6.558091,0.5346304
0.27,S,0.27,0.04457889,0,0.4488105,0,421.7857,62.99595,0.1709734,0,86.54272,101.6257,2.928741,183.249936406007,182.633280418376,15.0207881427138,53.2532194602371,50.82495,4.161479,86,86,7.057209,0.5754941
0.28,S,0.28,0.04612621,0,0.4472265,0,422.7841,62.96855,0.182399,0,86.52652,101.6257,2.931886,183.84786832793,183.229800405177,15.0625008615097,55.0484116822916,52.65725,4.312104,86,86,7.57462,0.617862
0.29,S,0.29,0.04768123,0,0.4456637,0,423.7826,62.9411,0.1942197,0,86.51032,101.6257,2.935031,184.44635045228,183.82686900476,15.1042519534093,56.8522125415453,54.49552,4.463147,86,86,8.110384,0.6617383
0.3,S,0.3,0.04924371,0,0.4441231,0,424.7811,62.91358,0.206437,0,86.49413,101.6257,2.938176,185.045421553627,184.424524901863,15.1460441264934,58.6644019950524,56.33977,4.614608,86,86,8.66456,0.707127
0.31,S,0.31,0.05081347,0,0.4426054,0,425.7797,62.886,0.2190525,0,86.47793,101.6257,2.941321,185.645085937265,185.022772393606,15.1878776805213,60.4847764583159,58.19,4.766487,86,86,9.237209,0.7540325
0.32,S,0.32,0.05239032,0,0.4411111,0,426.7784,62.85835,0.2320678,0,86.46174,101.6257,2.944465,186.245345423521,185.621613297926,15.2297527426322,62.3131639775196,60.04622,4.918785,86,86,9.82839,0.8024589
0.33,S,0.33,0.05397413,0,0.4403694,0,427.7771,62.83063,0.2458917,0,86.44554,101.6257,2.94761,186.845944205696,186.220792414677,15.2716514682533,64.1494024727618,61.90843,5.071502,86,86,10.43816,0.8524103
0.3399999,S,0.3399999,0.05556474,0,0.4399595,0,428.776,62.80285,0.2603497,0,86.42934,101.6257,2.950755,187.4470430086,186.820470102127,15.3135849326023,65.9933464607857,63.77663,5.224638,86,86,11.06659,0.903891
0.3499999,S,0.3499999,0.05716204,0,0.4395337,0,429.7748,62.775,0.2752602,0,86.41315,101.6257,2.9539,188.048695591652,187.420699972082,15.3555571600798,67.8448847995801,65.65084,5.378193,86,86,11.71373,0.9569052
0.3599999,S,0.3599999,0.05876593,0,0.4390942,0,430.7738,62.74708,0.290626,0,86.39695,101.6257,2.957045,188.650958483735,188.021538443995,15.3975718210766,69.7039001050322,67.53106,5.532168,86,86,12.37964,1.011457
0.3699999,S,0.3699999,0.0603763,0,0.438643,0,431.8782,62.71909,0.3064498,0,86.38075,101.6257,2.96019,189.307833284286,188.67685933887,15.4433964143689,71.5708193925099,69.41783,5.686602,86,86,13.06438,1.067551
0.3799999,S,0.3799999,0.06199354,0,0.4381818,0,433.0279,62.69104,0.322739,0,86.36456,101.6257,2.963334,189.988513968785,189.355929475583,15.4908815922537,73.4457842959169,71.31139,5.841511,86,86,13.76803,1.125191
0.3899999,S,0.3899999,0.06361774,0,0.437712,0,434.1776,62.66291,0.3394987,0,86.34837,101.6257,2.966479,190.669866629616,190.035669657396,15.5384136391221,75.3287189557004,73.21175,5.996895,86,86,14.49064,1.184383
0.3999999,S,0.3999999,0.06524887,0,0.437235,0,435.3274,62.6347,0.3567325,0,86.33217,101.6257,2.969624,191.351908595675,190.716097174817,15.5859937640643,77.2195356571285,75.1189,6.152755,86,86,15.2323,1.245132
0.4099999,S,0.4099999,0.06688683,0,0.436752,0,436.4773,62.60642,0.3744435,0,86.31597,101.6257,2.972769,192.034625946078,191.397198142499,15.6336209961423,79.118192440979,77.03287,6.309091,86,86,15.99305,1.307441
0.4199999,S,0.4199999,0.06853161,0,0.4362641,0,437.6272,62.57806,0.3926351,0,86.29977,101.6257,2.975914,192.718020343448,192.078974221696,15.6812954515424,81.0246243275968,78.95366,6.465904,86,86,16.77299,1.371316
0.4299999,S,0.4299999,0.07018312,0,0.4357722,0,438.7772,62.54963,0.4113112,0,86.28358,101.6257,2.979059,193.402097129149,192.761430754847,15.7290173659095,82.9387717016389,80.88127,6.623194,86,86,17.57216,1.436761
0.4399998,S,0.4399998,0.07184133,0,0.4352772,0,439.9273,62.52112,0.4304748,0,86.26739,101.6257,2.982203,194.086881800691,193.444593159162,15.7767887924564,84.8605995897453,82.81572,6.780962,86,86,18.39065,1.503782
0.4499998,S,0.4499998,0.07350621,0,0.4347798,0,441.0775,62.49253,0.4501295,0,86.25119,101.6257,2.985348,194.772348518313,194.128435669738,15.8246077916538,86.7900480831163,84.757,6.939208,86,86,19.22851,1.572383
0.4599998,S,0.4599998,0.07517769,0,0.4342807,0,442.2277,62.46387,0.4702787,0,86.23499,101.6257,2.988493,195.458455531708,194.812916648855,15.8724713137843,88.7270905412585,86.70513,7.097933,86,86,20.08582,1.642569
0.4699998,S,0.4699998,0.07685578,0,0.4337805,0,443.378,62.43512,0.4909263,0,86.2188,101.6257,2.991638,196.145308835641,195.498141831219,15.9203868913252,90.6716844106262,88.66011,7.257137,86,86,20.96265,1.714344
0.4799998,S,0.4799998,0.07854042,0,0.4332796,0,444.5283,62.4063,0.5120756,0,86.2026,101.6257,2.994783,196.832801887118,196.184004928815,15.968347091168,92.6238002702973,90.62195,7.416821,86,86,21.85906,1.787714
0.4899998,S,0.4899998,0.08023159,0,0.4327786,0,445.6788,62.37741,0.5337303,0,86.18641,101.6257,2.997927,197.521046390699,196.870617383704,16.0163597061215,94.5834013873973,92.59065,7.576984,86,86,22.77512,1.862683
0.4999998,S,0.4999998,0.08192927,0,0.4322779,0,446.8293,62.34843,0.5558938,0,86.17021,101.6257,3.001072,198.209949797127,197.55788686839,16.0644182800389,96.5504740828028,94.56623,7.737628,86,86,23.71091,1.939256
0.5099998,S,0.5099998,0.08363342,0,0.4317778,0,446.7433,62.31938,0.5785701,0,86.15401,101.6257,3.004217,198.261203012279,197.609018508284,16.0679937785941,98.51865608186,96.54232,7.898308,86,86,24.66645,2.017436
0.5199998,S,0.5199998,0.08533854,0,0.4312803,0,446.3481,62.29029,0.6016874,0,86.13782,101.6257,3.007362,198.152734842439,197.500807621347,16.0604269698437,100.486331731277,98.51733,8.058912,86,86,25.64175,2.097222
0.5299998,S,0.5299998,0.08704326,0,0.430786,0,445.953,62.26122,0.6252263,0,86.12162,101.6257,3.010507,198.043909834203,197.392240735155,16.0528352627346,102.453408356368,100.4912,8.21944,86,86,26.63679,2.178613
0.5399998,S,0.5399998,0.08874746,0,0.4302951,0,445.558,62.23218,0.6491844,0,86.10542,101.6257,3.013652,197.934700789143,197.283290726916,16.0452166219909,104.41992349864,102.464,8.379892,86,86,27.65157,2.26161
0.5499998,S,0.5499998,0.0904512,0,0.4298079,0,445.1631,62.20316,0.6735609,0,86.08923,101.6257,3.016797,197.825135406215,197.173985207498,16.0375732540998,106.385818973751,104.4357,8.540268,86,86,28.68607,2.346211
0.5599998,S,0.5599998,0.09215442,0,0.4293244,0,444.7683,62.17418,0.6983534,0,86.07304,101.6257,3.019941,197.715184912337,197.064295483118,16.029903014744,108.351068121011,106.4063,8.700567,86,86,29.74028,2.432415
0.5699998,S,0.5699998,0.0938571,0,0.4288449,0,444.3735,62.14521,0.7235609,0,86.05684,101.6257,3.023086,197.604847856408,196.95422010596,16.022205803426,110.3156460235,108.3758,8.860789,86,86,30.81419,2.520222
0.5799997,S,0.5799997,0.0955592,0,0.4283694,0,443.9787,62.11628,0.7491816,0,86.04064,101.6257,3.026231,197.494112181287,196.843747047503,16.0144807775208,112.279529699807,110.3442,9.020934,86,86,31.90779,2.60963
0.5899997,S,0.5899997,0.09726074,0,0.427898,0,444.6534,62.08736,0.7752141,0,86.02444,101.6257,3.029376,197.937106351287,197.285690580127,16.0453844778872,114.248273823183,112.3171,9.181388,86,86,33.02109,2.700642
0.5999997,S,0.5999997,0.09896649,0,0.4274294,0,445.5954,62.05846,0.8017325,0,86.00825,101.6257,3.032521,198.51885263039,197.866056954185,16.0859676454265,116.223157922166,114.2958,9.342248,86,86,34.15416,2.79326
0.6099997,S,0.6099997,0.1006776,0,0.4269635,0,446.5375,62.02948,0.828757,0,85.99206,101.6257,3.035666,199.10116919287,198.446992040148,16.1265905939632,118.204167176761,116.2803,9.503514,86,86,35.30704,2.887489
0.6199997,S,0.6199997,0.102394,0,0.4265003,0,447.4797,62.00045,0.8562902,0,85.97586,101.6257,3.03881,199.684042992833,199.028482824408,16.1672524127626,120.191287649861,118.2706,9.665187,86,86,36.47979,2.983332
0.6299997,S,0.6299997,0.1041157,0,0.4260398,0,448.422,61.97135,0.8843353,0,85.95966,101.6257,3.041955,200.267473349797,199.610528629308,16.2079530552082,122.184506390952,120.2667,9.827267,86,86,37.67248,3.080795
0.6399997,S,0.6399997,0.1058428,0,0.4255823,0,449.3642,61.94219,0.9128959,0,85.94347,101.6257,3.0451,200.851402456157,200.193071797024,16.2486883494287,124.183811036104,122.2686,9.989754,86,86,38.88516,3.17988
0.6499997,S,0.6499997,0.1075751,0,0.4251276,0,450.3066,61.91297,0.941974,0,85.92727,101.6257,3.048245,201.435935907925,200.776217651705,16.2894659389743,126.189288741863,124.2764,10.15265,86,86,40.11788,3.280592
0.6599997,S,0.6599997,0.1093128,0,0.4246758,0,451.2491,61.88369,0.9715742,0,85.91107,101.6257,3.05139,202.021015877763,201.359908526929,16.3302815135043,128.200829244031,126.29,10.31595,86,86,41.37071,3.382935
0.6699997,S,0.6699997,0.1110558,0,0.424227,0,452.1917,61.85434,1.001699,0,85.89488,101.6257,3.054534,202.60666988913,201.944171859602,16.3711372696724,130.218422973964,128.3094,10.47966,86,86,42.64371,3.486913
0.6799996,S,0.6799996,0.112804,0,0.4237812,0,453.1342,61.82493,1.032351,0,85.87868,101.6257,3.057679,203.192841469698,202.528951335149,16.4120289914053,132.242158817406,130.3347,10.64378,86,86,43.93693,3.59253
0.6899996,S,0.6899996,0.1145576,0,0.4233384,0,453.8345,61.79546,1.063534,0,85.86249,101.6257,3.060824,203.653376886505,202.988392876856,16.4441562431198,134.270730940319,132.3646,10.80822,86,86,45.25042,3.69979
0.6999996,S,0.6999996,0.1163154,0,0.4228989,0,454.3732,61.76593,1.095232,0,85.84629,101.6257,3.063969,204.030167584164,203.364288517572,16.4704414076767,136.303232656285,134.3982,10.97292,86,86,46.58424,3.808696
0.7099996,S,0.7099996,0.1180766,0,0.422463,0,454.912,61.73636,1.127432,0,85.83009,101.6257,3.067114,204.40720387694,203.740429085302,16.4967437067394,138.33975490644,136.4356,11.13789,86,86,47.9384,3.91925
0.7199996,S,0.7199996,0.1198413,0,0.4220305,0,455.4508,61.70676,1.160138,0,85.8139,101.6257,3.070259,204.784546963127,204.116875622036,16.5230675478743,140.380287703558,138.4768,11.30312,86,86,49.31297,4.031455
0.7299996,S,0.7299996,0.1216096,0,0.4216014,0,455.9897,61.67712,1.193352,0,85.79771,101.6257,3.073403,205.162109128762,204.493540656206,16.54940639572,142.424724293752,140.5217,11.46861,86,86,50.70796,4.145314
0.7399996,S,0.7399996,0.1233812,0,0.4211759,0,456.5287,61.64744,1.227073,0,85.78151,101.6257,3.076548,205.540025893443,204.870559351898,16.5757701214009,144.473157181346,142.5704,11.63437,86,86,52.12342,4.260828
0.7499996,S,0.7499996,0.1251563,0,0.4207538,0,457.0677,61.61773,1.261305,0,85.76531,101.6257,3.079693,205.918189073196,205.2478237938,16.602151038157,146.525577538459,144.6229,11.80039,86,86,53.55938,4.378002
0.7599996,S,0.7599996,0.1269349,0,0.4203351,0,457.6069,61.58798,1.296049,0,85.74911,101.6257,3.082838,206.296615111202,205.625350386301,16.6285502931047,148.581979844383,146.6792,11.96668,86,86,55.01589,4.496838
0.7699996,S,0.7699996,0.1287169,0,0.4199199,0,458.1461,61.5582,1.331308,0,85.73292,101.6257,3.085983,206.675335308251,206.003170356067,16.6549700698353,150.642257585117,148.7392,12.13323,86,86,56.49298,4.617337
0.7799996,S,0.7799996,0.1305024,0,0.419508,0,458.6853,61.52838,1.367082,0,85.71673,101.6257,3.089128,207.054271008693,206.381205234699,16.6814048813137,152.706502947962,150.803,12.30004,86,86,57.9907,4.739503
0.7899995,S,0.7899995,0.1322913,0,0.4190995,0,459.2247,61.49853,1.403374,0,85.70053,101.6257,3.092273,207.433535593157,206.759568144779,16.7078624982969,154.774711672504,152.8706,12.46712,86,86,59.50906,4.863339
0.7999995,S,0.7999995,0.1340837,0,0.4186943,0,459.7641,61.46864,1.440186,0,85.68433,101.6257,3.095417,207.813043171779,207.138173378357,16.734337208071,156.846876632854,154.942,12.63446,86,86,61.04813,4.988847
0.8099995,S,0.8099995,0.1358795,0,0.4182925,0,460.3037,61.43871,1.47752,0,85.66814,101.6257,3.098562,208.192878270101,207.517105271656,16.760834766246,158.922993810432,157.0172,12.80207,86,86,62.60792,5.11603
0.8199995,S,0.8199995,0.1376788,0,0.4178939,0,460.8432,61.40875,1.515377,0,85.65194,101.6257,3.101707,208.572914901201,207.89623814877,16.7873462457168,161.003056921003,159.0962,12.96994,86,86,64.18849,5.24489
0.8299995,S,0.8299995,0.1394815,0,0.4174986,0,461.3829,61.37875,1.553759,0,85.63574,101.6257,3.104852,208.953306551668,208.275725108982,16.8138826332079,163.087062276979,161.179,13.13808,86,86,65.78987,5.37543
0.8399995,S,0.8399995,0.1412877,0,0.4171065,0,461.9227,61.34872,1.59267,0,85.61955,101.6257,3.107996,209.333948220208,208.655461423597,16.8404363235203,165.174905231629,163.2655,13.30648,86,86,67.41209,5.507652
0.8499995,S,0.8499995,0.1430972,0,0.4167176,0,462.4624,61.31865,1.632108,0,85.60336,101.6257,3.111141,209.714821316832,209.035428535783,16.8670061603232,167.266780197601,165.3559,13.47515,86,86,69.0552,5.641561
0.8599995,S,0.8599995,0.1449102,0,0.4163319,0,463.0023,61.28854,1.672078,0,85.58716,101.6257,3.114286,210.096050404305,209.41575070102,16.8936009724499,169.362584257051,167.4501,13.64409,86,86,70.71923,5.777157
0.8699995,S,0.8699995,0.1467267,0,0.4159449,0,463.5423,61.2584,1.712562,0,85.57096,101.6257,3.117431,210.477491335004,209.796284137441,16.920210424184,171.46231194626,169.5481,13.81329,86,86,72.40422,5.914444
0.8799995,S,0.8799995,0.1485466,0,0.4155653,0,464.0823,61.22823,1.7536,0,85.55476,101.6257,3.120576,210.859249684827,210.177134158677,16.9468420212689,173.565960980756,171.6499,13.98276,86,86,74.11021,6.053424
0.8899994,S,0.8899994,0.1503699,0,0.4151889,0,464.6224,61.19801,1.795173,0,85.53857,101.6257,3.123721,211.241239962961,210.558215477642,16.9734897990994,175.673527384068,173.7555,14.1525,86,86,75.83724,6.194101
0.8999994,S,0.8999994,0.1521967,0,0.4148155,0,465.1626,61.16777,1.837286,0,85.52238,101.6257,3.126866,211.623541677948,210.939607413943,17.0001593042527,177.785006368281,175.8649,14.3225,86,86,77.58534,6.336476
0.9099994,S,0.9099994,0.1540269,0,0.4144451,0,465.7029,61.13748,1.879938,0,85.50618,101.6257,3.13001,212.006138958723,211.321294134457,17.0268494303424,179.900395966085,177.9781,14.49277,86,86,79.35456,6.480552
0.9199994,S,0.9199994,0.1558605,0,0.4140776,0,466.2432,61.10716,1.923133,0,85.48998,101.6257,3.133155,212.388951837294,211.703195861839,17.0535545980409,182.019692941175,180.0951,14.66331,86,86,81.14493,6.626333
0.9299994,S,0.9299994,0.1576975,0,0.4137131,0,466.7837,61.07681,1.966872,0,85.47379,101.6257,3.1363,212.772077132718,212.085409184957,17.0802815615098,184.142892817731,182.2159,14.83411,86,86,82.95648,6.77382
0.9399994,S,0.9399994,0.1595379,0,0.4133515,0,467.3242,61.04642,2.011156,0,85.45759,101.6257,3.139445,213.155497993203,212.467917292306,17.1070291459489,186.270092979552,184.3406,15.00518,86,86,84.78926,6.923017
0.9499994,S,0.9499994,0.1613819,0,0.4129928,0,467.8647,61.01599,2.055992,0,85.4414,101.6257,3.14259,213.539149181762,212.850655102512,17.133792799672,188.401191635178,186.4691,15.17652,86,86,86.64331,7.073925
0.9599994,S,0.9599994,0.1632292,0,0.4126368,0,468.4054,60.98553,2.101375,0,85.4252,101.6257,3.145735,213.923113953515,213.233705672737,17.1605783306118,190.536186052341,188.6014,15.34813,86,86,88.51866,7.226548
0.9699994,S,0.9699994,0.1650799,0,0.4122838,0,468.9461,60.95503,2.147312,0,85.409,101.6257,3.148879,214.307357484519,213.617034262122,17.1873833102269,192.675171254733,190.7376,15.52,86,86,90.41536,7.380889
0.9799994,S,0.9799994,0.1669342,0,0.4119334,0,469.487,60.9245,2.193804,0,85.39281,101.6257,3.152024,214.691880927125,214.000642020578,17.2142078181724,194.818046978268,192.8776,15.69214,86,86,92.33344,7.53695
0.9899994,S,0.9899994,0.1687918,0,0.4115858,0,470.0279,60.89393,2.240852,0,85.37661,101.6257,3.155169,215.076670539776,214.384515250786,17.2410507557089,196.964811074428,195.0214,15.86455,86,86,94.27293,7.694733
0.9999993,S,0.9999993,0.1706529,0,0.4112408,0,470.5688,60.86333,2.288457,0,85.36041,101.6257,3.158314,215.461690428074,214.768618121549,17.2679098990951,199.115560108116,197.1691,16.03723,86,86,96.23388,7.854242
1.009999,S,1.009999,0.1725174,0,0.4108986,0,471.1098,60.83269,2.336623,0,85.34422,101.6257,3.161459,215.847040601559,215.153050426996,17.294791944675,201.270192974913,199.3206,16.21018,86,86,98.21632,8.015479
1.019999,S,1.019999,0.1743853,0,0.410559,0,471.6509,60.80201,2.38535,0,85.32803,101.6257,3.164603,216.232668211681,215.537759422005,17.3216934877894,203.428806302679,201.476,16.3834,86,86,100.2203,8.178447
1.029999,S,1.029999,0.1762568,0,0.410222,0,472.1921,60.7713,2.434644,0,85.31183,101.6257,3.167748,216.618561766683,215.922733665175,17.3486134438511,205.591299267846,203.6352,16.55689,86,86,102.2459,8.343148
1.039999,S,1.039999,0.1781316,0,0.4098875,0,472.7334,60.74055,2.484503,0,85.29563,101.6257,3.170893,217.004733518315,216.307985356621,17.3755529498991,207.757768676971,205.7983,16.73065,86,86,104.293,8.509586
1.049999,S,1.049999,0.1800099,0,0.4095556,0,473.2748,60.70977,2.534931,0,85.27943,101.6257,3.174038,217.391187786017,216.693518828417,17.402512024815,209.928112537507,207.9652,16.90467,86,86,106.3618,8.677763
1.059999,S,1.059999,0.1818916,0,0.4092262,0,473.8162,60.67896,2.585927,0,85.26324,101.6257,3.177183,217.777906800474,217.079316342477,17.429489570234,212.102430427024,210.136,17.07897,86,86,108.4524,8.847681
1.069999,S,1.069999,0.1837768,0,0.4088993,0,474.3577,60.6481,2.637498,0,85.24705,101.6257,3.180328,218.164902597382,217.465389894633,17.4564865680471,214.280718257088,212.3107,17.25353,86,86,110.5646,9.019343
1.079999,S,1.079999,0.1856654,0,0.4085748,0,474.8994,60.61721,2.689644,0,85.23085,101.6257,3.183472,218.552229417515,217.851793619328,17.4835065192256,216.462877579093,214.4892,17.42837,86,86,112.6986,9.192753
1.089999,S,1.089999,0.1875575,0,0.4082528,0,475.441,60.58629,2.742364,0,85.21465,101.6257,3.186617,218.939772917568,218.238413434766,17.5105415870729,218.649004801637,216.6716,17.60348,86,86,114.8544,9.367912
1.099999,S,1.099999,0.189453,0,0.4079331,0,475.9828,60.55533,2.795664,0,85.19846,101.6257,3.189762,219.327611892452,218.625327948171,17.5375972698923,220.838999252177,218.8578,17.77886,86,86,117.0321,9.544824
1.109999,S,1.109999,0.1913519,0,0.4076159,0,476.5246,60.52433,2.849544,0,85.18226,101.6257,3.192907,219.715731349792,219.012522203125,17.5646725218408,223.032958251387,221.0479,17.95451,86,86,119.2316,9.723491
1.119999,S,1.119999,0.1932543,0,0.4073009,0,477.0665,60.4933,2.904006,0,85.16607,101.6257,3.196052,220.104148040077,219.40001291047,17.5917685106949,225.230880594636,223.2419,18.13043,86,86,121.453,9.903915
1.129999,S,1.129999,0.1951602,0,0.4069882,0,477.6085,60.46223,2.959054,0,85.14987,101.6257,3.199197,220.49281212244,219.787750348384,17.6188817595766,227.432764620209,225.4398,18.30662,86,86,123.6964,10.0861
1.139999,S,1.139999,0.1970695,0,0.4066778,0,478.0359,60.43113,3.014689,0,85.13367,101.6257,3.202342,220.820764644698,220.114920917576,17.6417597681807,229.6380091677,227.641,18.48304,86,86,125.9618,10.27005
1.149999,S,1.149999,0.1989818,0,0.4063698,0,478.4349,60.39999,3.070898,0,85.11748,101.6257,3.205486,221.133695990304,220.427106078485,17.6635899011615,231.84641309015,229.8453,18.65968,86,86,128.2493,10.45576
1.159999,S,1.159999,0.2008969,0,0.406064,0,478.8338,60.36883,3.127677,0,85.10128,101.6257,3.208631,221.446742508308,220.739406091195,17.6854280707944,234.057974043896,232.0527,18.83653,86,86,130.5588,10.64324
1.169999,S,1.169999,0.2028148,0,0.4057606,0,479.2329,60.33764,3.185028,0,85.08508,101.6257,3.211776,221.760017875193,221.05193436123,17.7072822071747,236.272691483787,234.2632,19.0136,86,86,132.8904,10.83249
1.179999,S,1.179999,0.2047354,0,0.4054594,0,479.6321,60.30642,3.242952,0,85.06889,101.6257,3.214921,222.073459586278,221.36462854447,17.7291478076981,238.490663806321,236.4769,19.19089,86,86,135.244,11.02352
1.189999,S,1.189999,0.2066589,0,0.4051605,0,480.0313,60.27518,3.301454,0,85.0527,101.6257,3.218066,222.387044992893,221.677466023658,17.7510235761463,240.711790651264,238.6937,19.3684,86,86,137.6199,11.21631
1.199999,S,1.199999,0.2085852,0,0.4048638,0,480.4306,60.24392,3.360533,0,85.0365,101.6257,3.22121,222.700777482503,221.990450189639,17.7729096073993,242.936070351304,240.9136,19.54613,86,86,140.0179,11.41089
